,trustlist_a_1,trustlist_b_1,trustlist_c_1,trustlist_a_2,trustlist_b_2,trustlist_c_2,trustlist_a,trustlist_b,trustlist_c,treat,y,female,ccpmember,urban,education,agegroup,income,life,pinterest,self_index,confucian_a,confucian_b,confucian_c,confucian_d,china,confucian_all,centraltrust_all,localtrust_all,weight_internet,college,young,high.income,high.life,high.pinterest,high.self,high.china,high.confucian_all
297,2,NA,NA,NA,NA,NA,2,NA,NA,a,2,0,0,1,5,6,5,4,2,2.333333333,3,2,3,3,4,2.75,3,2,0.2849104,1,0,0,1,0,0,1,1
298,NA,2,NA,NA,NA,NA,NA,2,NA,b,2,1,0,0,5,2,6,4,3,3,2,1,3,3,4,2.25,3,3,0.214487,1,1,1,1,1,1,1,0
299,NA,NA,NA,2,NA,NA,2,NA,NA,a,2,0,1,1,6,4,6,4,3,3.666666667,2,2,3,3,4,2.5,3,2,0.1339237,1,0,1,1,1,1,1,0
300,NA,NA,2,NA,NA,NA,NA,NA,2,c,2,1,0,1,5,3,6,3,2,3,1,1,2,3,2,1.75,3,2,0.214487,1,1,1,0,0,1,0,0
301,NA,NA,1,NA,NA,NA,NA,NA,1,c,1,0,0,0,5,4,6,4,4,2.666666667,2,2,2,3,3,2.25,3,2,0.2849104,1,0,1,1,1,0,0,0
302,3,NA,NA,NA,NA,NA,3,NA,NA,a,3,1,0,1,5,3,6,5,3,2,2,3,3,3,4,2.75,3,2,0.214487,1,1,1,1,1,0,1,1
303,NA,3,NA,NA,NA,NA,NA,3,NA,b,3,1,0,1,4,3,6,4,3,3.666666667,1,1,3,4,3,2.25,3,3,2.253273,0,1,1,1,1,1,0,0
304,NA,NA,1,NA,NA,NA,NA,NA,1,c,1,1,0,1,5,3,6,4,3,3,2,1,2,2,4,1.75,4,4,0.214487,1,1,1,1,1,1,1,0
305,NA,NA,2,NA,NA,NA,NA,NA,2,c,2,0,0,1,4,6,5,3,2,2,1,1,1,2,3,1.25,3,2,2.993115,0,0,0,0,0,0,0,0
306,NA,NA,4,NA,NA,NA,NA,NA,4,c,4,1,0,0,3,1,4,4,2,2.666666667,2,1,3,4,4,2.5,3,2,2.253273,0,1,0,1,0,0,1,0
307,NA,NA,2,NA,NA,NA,NA,NA,2,c,2,1,0,1,5,3,7,4,4,3.666666667,2,3,2,4,4,2.75,3,2,0.214487,1,1,1,1,1,1,1,1
308,1,NA,NA,NA,NA,NA,1,NA,NA,a,1,1,1,1,6,3,8,5,3,3,3,3,3,3,5,3,4,3,0.100821,1,1,1,1,1,1,1,1
309,NA,NA,NA,NA,4,NA,NA,4,NA,b,4,1,0,1,6,3,6,4,3,2.333333333,2,2,2,4,3,2.5,3,3,0.214487,1,1,1,1,1,0,0,0
310,3,NA,NA,NA,NA,NA,3,NA,NA,a,3,0,1,1,5,3,7,4,2,2,2,3,3,3,3,2.75,4,3,0.0802852,1,1,1,1,0,0,0,1
311,NA,3,NA,NA,NA,NA,NA,3,NA,b,3,0,0,1,5,4,6,5,3,2.333333333,3,3,3,3,4,3,4,3,0.2849104,1,0,1,1,1,0,1,1
312,NA,3,NA,NA,NA,NA,NA,3,NA,b,3,1,0,1,5,5,6,4,4,2.666666667,2,3,3,3,4,2.75,4,3,0.3577848,1,0,1,1,1,0,1,1
313,NA,NA,NA,NA,3,NA,NA,3,NA,b,3,1,0,1,6,5,6,4,3,2.666666667,2,2,3,3,4,2.5,3,2,0.3577848,1,0,1,1,1,0,1,0
314,NA,NA,NA,NA,NA,3,NA,NA,3,c,3,0,0,1,6,3,7,4,4,2.666666667,2,1,1,3,3,1.75,3,3,0.1707994,1,1,1,1,1,0,0,0
315,NA,NA,3,NA,NA,NA,NA,NA,3,c,3,0,0,1,5,4,7,5,4,2.666666667,3,2,2,3,4,2.5,4,2,0.2849104,1,0,1,1,1,0,1,0
316,NA,NA,NA,NA,3,NA,NA,3,NA,b,3,1,1,1,6,3,7,5,3,3.666666667,4,3,3,4,3,3.5,3,3,0.100821,1,1,1,1,1,1,0,1
317,NA,NA,NA,NA,4,NA,NA,4,NA,b,4,1,0,1,6,4,3,3,1,1.333333333,2,1,2,2,4,1.75,3,2,0.3577848,1,0,0,0,0,0,1,0
318,NA,NA,NA,NA,NA,4,NA,NA,4,c,4,0,1,0,5,3,4,3,4,2,2,2,2,4,4,2.5,4,3,0.0802852,1,1,0,0,1,0,1,0
319,NA,3,NA,NA,NA,NA,NA,3,NA,b,3,1,0,1,5,3,6,4,4,2,2,2,2,3,4,2.25,4,3,0.214487,1,1,1,1,1,0,1,0
320,2,NA,NA,NA,NA,NA,2,NA,NA,a,2,0,0,1,5,2,7,4,3,3.666666667,2,2,2,2,4,2,3,3,0.1707994,1,1,1,1,1,1,1,0
321,NA,NA,NA,NA,NA,3,NA,NA,3,c,3,1,1,0,6,4,8,5,3,4,2,2,2,3,5,2.25,4,4,0.1681787,1,0,1,1,1,1,1,0
322,3,NA,NA,NA,NA,NA,3,NA,NA,a,3,0,0,0,5,2,6,4,2,2,2,2,2,2,4,2,3,2,0.1707994,1,1,1,1,0,0,1,0
323,NA,3,NA,NA,NA,NA,NA,3,NA,b,3,0,0,1,3,2,6,5,4,2.333333333,4,4,4,4,5,4,4,2,1.794325,0,1,1,1,1,0,1,1
324,NA,NA,NA,NA,3,NA,NA,3,NA,b,3,0,0,1,5,3,7,5,4,2.333333333,3,3,2,4,4,3,3,2,0.1707994,1,1,1,1,1,0,1,1
325,2,NA,NA,NA,NA,NA,2,NA,NA,a,2,1,0,1,5,5,6,4,3,2.333333333,1,1,3,2,4,1.75,3,2,0.3577848,1,0,1,1,1,0,1,0
