,female,ccpmember,urban,education,agegroup,income,life,pinterest,self_index,china,confucian_a,confucian_b,confucian_c,confucian_d,termlimit_a_1,termlimit_a_2,termlimit_a,termlist_a_1,termlist_a_2,termlist_a,termlist_b_1,termlist_b_2,termlist_b,weight_internet,treat,y,confucian_all,college,young,high.income,high.life,high.pinterest,high.self,high.china,high.confucian_all,termlimit_a_b
1385,1,0,1,5,4,9,5,4,3.666666667,5,1,3,4,3,NA,2,2,NA,NA,NA,3,NA,3,0.3577848,1,3,2.75,1,0,1,1,1,1,1,1,0
1386,0,1,1,4,2,7,5,4,3.666666667,4,2,3,3,3,NA,4,4,NA,NA,NA,1,NA,1,0.8434338,1,1,2.75,0,1,1,1,1,1,1,1,1
1387,1,1,1,5,4,9,5,4,4.333333333,4,2,3,3,4,1,NA,1,NA,2,2,NA,NA,NA,0.1681787,0,2,3,1,0,1,1,1,1,1,1,0
1389,1,0,0,6,3,5,2,2,3,4,1,1,2,3,2,NA,2,NA,NA,NA,NA,3,3,0.214487,1,3,1.75,1,1,0,0,0,1,1,0,0
1391,1,0,1,5,4,9,4,4,4.666666667,5,1,3,4,4,NA,1,1,NA,NA,NA,2,NA,2,0.3577848,1,2,3,1,0,1,1,1,1,1,1,0
1392,1,0,1,5,2,7,3,3,3.666666667,3,2,4,3,4,4,NA,4,NA,0,0,NA,NA,NA,0.214487,0,0,3.25,1,1,1,0,1,1,0,1,1
1393,1,0,1,5,2,6,4,3,3.666666667,4,1,2,2,4,2,NA,2,NA,1,1,NA,NA,NA,0.214487,0,1,2.25,1,1,1,1,1,1,1,0,0
1394,1,0,1,5,2,7,4,3,3.333333333,5,2,4,4,4,5,NA,5,NA,0,0,NA,NA,NA,0.214487,0,0,3.5,1,1,1,1,1,1,1,1,1
1395,1,0,1,5,3,6,5,3,4,5,2,4,2,4,NA,5,5,NA,NA,NA,3,NA,3,0.214487,1,3,3,1,1,1,1,1,1,1,1,1
1396,1,0,1,5,1,7,4,3,1.666666667,4,2,2,3,4,NA,4,4,2,NA,2,NA,NA,NA,0.214487,0,2,2.75,1,1,1,1,1,0,1,1,1
1398,1,1,1,5,3,6,5,3,4,3,2,3,2,3,1,NA,1,NA,NA,NA,NA,5,5,0.100821,1,5,2.5,1,1,1,1,1,1,0,0,0
1399,1,1,0,5,9,7,5,3,3.333333333,4,4,4,4,3,NA,4,4,NA,NA,NA,4,NA,4,0.1681787,1,4,3.75,1,0,1,1,1,1,1,1,1
1400,0,0,1,5,5,6,4,3,3.666666667,4,2,3,2,3,4,NA,4,NA,NA,NA,NA,2,2,0.2849104,1,2,2.5,1,0,1,1,1,1,1,0,1
1402,1,0,1,6,4,9,4,3,2.666666667,5,1,2,3,3,NA,5,5,1,NA,1,NA,NA,NA,0.3577848,0,1,2.25,1,0,1,1,1,0,1,0,1
1404,1,1,1,3,3,7,5,4,3.666666667,5,2,4,4,3,NA,4,4,3,NA,3,NA,NA,NA,1.059162,0,3,3.25,0,1,1,1,1,1,1,1,1
